Datetime,Happiness,Motivation,Flexibility,Strength,Endurance,Relationships
11/12/2014,5,5,3,4,3,7
11/13/2014,6,8,7,8,7,5
11/14/2014,8,7,6,8,7,8
11/15/2014,6,7,3,6,4,6
11/16/2014,9,8,3,3,2,9
11/17/2014,8,9,2,2,2,9
11/18/2014,7,8,3,2,2,7
11/19/2014,9,9,6,9,7,8
11/20/2014,7,9,5,5,5,8
11/21/2014,8,7,7,9,8,9
11/22/2014,8,8,4,3,8,8
11/23/2014,8,8,3,3,5,9
11/24/2014,6,9,3,3,5,7
11/25/2014,6,8,5,7,4,6
11/26/2014,8,7,5,7,5,8
11/27/2014,8,7,3,4,3,8
11/28/2014,8,7,2,3,3,8
11/29/2014,10,10,7,8,9,10
11/30/2014,9,10,4,5,7,10
12/1/2014,9,9,7,10,8,9
12/2/2014,8,9,6,9,8,8
12/3/2014,6,8,3,6,3,7
12/4/2014,6,9,6,10,9,4
12/5/2014,7,9,6,9,9,7
12/6/2014,8,9,6,7,8,8
12/7/2014,8,8,4,4,6,9
12/8/2014,8,9,2,2,4,7
12/9/2014,8,9,2,2,4,6
12/10/2014,7,8,6,8,7,8
12/11/2014,7,8,5,5,5,7
12/12/2014,6,8,6,8,7,5
12/13/2014,6,7,5,5,5,6
12/14/2014,6,8,4,7,7,5
12/15/2014,6,5,5,8,7,7
12/16/2014,5,6,6,8,8,8
12/17/2014,7,9,3,4,7,9
12/18/2014,7,8,7,8,7,7
12/19/2014,6,5,5,5,5,6
12/20/2014,6,6,5,6,5,7
12/21/2014,5,8,8,9,8,4
12/22/2014,7,8,6,9,8,7
12/23/2014,7,7,5,5,5,7
12/24/2014,6,4,5,5,5,7
12/25/2014,10,9,4,4,6,7
12/26/2014,8,8,7,10,8,7
12/27/2014,9,8,7,9,10,10
12/28/2014,8,9,5,7,7,9
12/29/2014,9,7,5,5,5,9
12/30/2014,8,7,6,8,8,9
12/31/2014,7,5,4,4,6,7
1/1/2015,5,5,5,5,5,5
1/2/2015,7,6,5,8,6,7
1/3/2015,7,5,2,3,3,8
1/4/2015,6,8,2,2,4,9
1/5/2015,8,9,7,9,9,9
1/6/2015,8,8,6,8,8,7
1/7/2015,8,8,6,9,7,9
1/8/2015,6,8,4,6,3,3
1/9/2015,6,8,8,9,9,3
1/10/2015,5,7,7,9,7,3
1/11/2015,8,9,3,6,6,8
1/12/2015,8,9,7,10,9,8
1/13/2015,8,9,6,9,8,9
1/14/2015,6,7,7,9,9,9
1/15/2015,8,9,5,6,5,8
1/16/2015,9,8,7,9,7,9
1/17/2015,5,5,5,5,5,5
1/18/2015,8,8,7,6,9,9
1/19/2015,8,7,6,7,6,9
1/20/2015,9,9,8,9,9,7
1/21/2015,8,7,7,8,7,9
1/22/2015,8,7,5,6,4,8
1/23/2015,8,7,5,4,4,8
1/24/2015,5,9,8,10,9,9
1/25/2015,7,8,6,6,7,8
1/26/2015,8,8,8,9,8,8
1/27/2015,8,7,7,9,8,8
1/28/2015,7,8,6,7,7,9
1/29/2015,8,7,6,5,4,7
1/30/2015,8,7,7,8,6,6
1/31/2015,7,7,6,8,8,6
2/1/2015,9,7,3,7,5,8
2/2/2015,8,7,7,9,8,9
2/3/2015,8,7,6,9,8,9
2/4/2015,8,8,8,9,8,8
2/5/2015,7,7,3,6,4,5
2/6/2015,8,6,6,8,8,8
2/7/2015,8,8,6,8,9,10
2/8/2015,5,7,4,5,6,9
2/9/2015,8,7,6,8,6,9
2/10/2015,6,7,7,7,7,7
2/11/2015,8,7,7,7,6,9
2/12/2015,8,7,6,5,6,8
2/13/2015,8,6,8,9,8,8
2/14/2015,6,7,7,8,7,8
2/15/2015,8,5,5,6,5,8
2/16/2015,8,5,6,8,7,8
2/17/2015,8,9,7,9,9,9
2/18/2015,8,9,7,9,9,8
2/19/2015,7,7,6,7,6,8
2/20/2015,8,5,8,9,8,7
2/21/2015,8,8,8,9,8,10
2/22/2015,8,8,4,7,9,9
2/23/2015,8,6,5,6,5,9
2/24/2015,8,7,7,9,8,8
2/25/2015,6,7,7,9,8,8
2/26/2015,7,7,6,6,6,7
2/27/2015,9,9,7,9,8,8
2/28/2015,7,8,9,9,9,9
3/1/2015,5,5,5,5,5,5
3/2/2015,8,8,8,9,8,9
3/3/2015,8,8,8,9,8,8
3/4/2015,8,8,7,9,8,8
3/5/2015,7,8,3,6,3,8
3/6/2015,6,6,3,3,3,7
3/7/2015,8,7,5,6,4,8
3/8/2015,8,7,5,4,8,9
3/9/2015,6,7,7,8,8,8
3/10/2015,6,7,5,6,4,8
3/11/2015,8,8,7,9,8,9
3/12/2015,6,5,5,3,3,6
3/13/2015,6,6,4,3,3,7
3/14/2015,7,7,7,7,7,8
3/15/2015,3,2,2,2,2,9
3/16/2015,3,3,1,1,1,9
3/17/2015,7,9,2,2,2,7
3/18/2015,7,8,4,2,2,8
3/19/2015,6,5,3,3,3,8
3/20/2015,3,7,2,2,3,8
3/21/2015,9,8,6,5,7,9
3/22/2015,8,5,3,3,4,8
3/23/2015,5,3,3,3,3,5
3/24/2015,5,3,3,2,3,5
3/25/2015,3,6,3,2,2,2
3/26/2015,1,3,3,1,2,1
3/27/2015,4,3,3,1,2,1
3/28/2015,2,3,4,5,4,1
3/29/2015,2,4,3,2,3,2
3/30/2015,7,7,7,8,8,3
3/31/2015,6,6,5,5,5,2
4/1/2015,6,7,6,7,7,3
4/2/2015,8,7,7,8,7,5
4/3/2015,4,5,4,4,5,1
4/4/2015,9,7,7,7,8,8
4/5/2015,7,7,3,5,6,7
4/6/2015,8,8,7,8,7,7
4/7/2015,3,3,2,3,2,3
4/8/2015,5,5,5,5,5,5
4/9/2015,5,5,5,5,5,5
4/10/2015,4,4,2,3,2,6
4/11/2015,8,5,3,4,7,8
4/12/2015,7,7,2,3,2,9
4/13/2015,8,7,2,2,3,8
4/14/2015,7,7,2,2,2,7
